ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svals
Mpdu1,2216.013418253323,-0.07801597504577372,0.10942262122297793,-0.7129784881207996,0.475859068753409,0.9977523749585809,0.48079408502580945
Cdh1,50691.13457372024,-0.0780117962152546,0.11781208510146125,-0.6621714245025869,0.507861365422646,0.9977523749585809,0.4807954856021361
Ptpn11,4709.7339707573765,-0.07799244401603286,0.12422683779058065,-0.6278228231769942,0.5301200131277427,0.9977523749585809,0.4807968859691708
Lrrc47,950.1341070967771,-0.07783145222200523,0.13285274444277761,-0.5858475302746103,0.5579779798520933,0.9977523749585809,0.48081507285522884
Haghl,399.03891023703557,-0.0778118103759733,0.1464841298639532,-0.5311961811033102,0.595282839072611,0.9977523749585809,0.4808206622247797
Cenpt,392.49397940843346,-0.07752868499903426,0.13276384883404607,-0.5839593057892183,0.5592476910955024,0.9977523749585809,0.48085830809955393
Fahd2a,468.89106686849965,-0.07750278937548921,0.12211384424034433,-0.6346765172910969,0.525639412121532,0.9977523749585809,0.4808694345263236
Vti1b,4067.5749709605625,-0.07736611181395969,0.1187504008075849,-0.6515019005225802,0.5147225506553772,0.9977523749585809,0.48088332454045435
Msl3l2,71.22869083426642,-0.07736579414172784,0.2040403786647747,-0.3791690382462723,0.704562341834618,0.9977523749585809,0.4808861001386036
Tulp4,2502.6121854751523,-0.07733600408996252,0.13402443554005142,-0.577029134861394,0.5639197741780215,0.9977523749585809,0.4808888749353557
Zdhhc18,1930.81107853375,-0.07732569921718149,0.15117644426146631,-0.5114930410947045,0.6090058599816045,0.9977523749585809,0.48089164893853775
Bex1,194.3714290725257,-0.07732415914771207,0.12976328280258007,-0.5958862744352106,0.5512512031177963,0.9977523749585809,0.4808971945967419
Wdr44,1567.9234725497718,-0.07730365716494415,0.13833852123788462,-0.5588006614008405,0.5762977710363649,0.9977523749585809,0.4809041225060796
Ifngr2,8490.106802243317,-0.07715409131651636,0.11067808779472715,-0.6971035807883924,0.48573797343824043,0.9977523749585809,0.48090827700610494
Lmtk3,208.69234086654672,-0.07712968608268742,0.1991674883261071,-0.3872604245347466,0.6985634207758601,0.9977523749585809,0.48091104567095744
Calu,9834.425150599918,-0.07695326297935452,0.12121411311418097,-0.6348539869022205,0.5255236491706639,0.9977523749585809,0.48093592803058455
Meox1,116.71298388514582,-0.07692759378786251,0.189831845760126,-0.4052407196475834,0.6853005763121005,0.9977523749585809,0.4809400690014898
Rnf121,1514.2676469852086,-0.07685850782116675,0.10745848805438435,-0.7152390584750172,0.4744613380106312,0.9977523749585809,0.48094558748476274
Gm5113,140.0829176196103,-0.07677614410285942,0.20092615770661879,-0.3821112441465371,0.7023788518947225,0.9977523749585809,0.48095799245600374
Prr5l,274.99435755972536,-0.0766944164278887,0.14149706121758468,-0.5420212672117138,0.5878038551935107,0.9977523749585809,0.48096762971940193
Ulk4,65.92000762980773,-0.07669324509520743,0.1886059214976374,-0.4066322228179253,0.6842781270861016,0.9977523749585809,0.48097175704096057
Trim35,1374.2800199399605,-0.0766628893329619,0.17516924138258838,-0.43765040441958614,0.6616397267445862,0.9977523749585809,0.4809909946521476
Tmem242,1844.6357039008424,-0.07664424365836651,0.10628593113638822,-0.721113724449712,0.4708395476096934,0.9977523749585809,0.4809923673062134
Zbtb7c,576.817094817598,-0.07653734456590648,0.12792114975580293,-0.5983165779233038,0.5496287170637684,0.9977523749585809,0.4809978559474405
Chmp1b,9617.512430532108,-0.07647838132072723,0.12045121753681096,-0.6349324057048636,0.5254725009507712,0.9977523749585809,0.48100059908526155
Ahdc1,1192.5607727224365,-0.07634527529151267,0.12991353216294546,-0.5876622244075065,0.5567590359302446,0.9977523749585809,0.48100471231641617
2700094K13Rik,540.6757613037443,-0.07623094134174516,0.139797570488636,-0.5452951798467907,0.5855505187201742,0.9977523749585809,0.4810101938584426
Tango6,161.74977212170657,-0.07621538949147687,0.136600258763236,-0.5579446933814238,0.5768821511308648,0.9977523749585809,0.4810129334644778
Oxr1,2008.8309330411123,-0.07621265599331528,0.11118923026928579,-0.6854319956054933,0.49307135966336296,0.9977523749585809,0.4810143029747955
Nudt2,594.2154350651394,-0.076079124275843,0.12131976538209165,-0.6270958737534227,0.53059639173118045,0.9977523749585809,0.4810156723073399
AW112010,4093.3735570222343,-0.07607677024814744,0.21188299734741117,-0.359050849764076,0.7195570494161598,0.9977523749585809,0.4810170414396362
Mrgpre,73.34000398203658,-0.07599479759790383,0.2103093128808641,-0.36134775277856246,0.7178395002215359,0.9977523749585809,0.48103072227605614
Oit1,32501.770030919834,-0.07594916152173246,0.11926140889294283,-0.6368293165973715,0.5242360278662601,0.9977523749585809,0.4810334561709929
Spsb3,1544.7446961168046,-0.07583638977242657,0.11698650575275225,-0.6482490376514424,0.5168238897845034,0.9977523749585809,0.4810539362007829
Ggh,15830.321488956566,-0.07577959357946334,0.12209195918665257,-0.6206763662757881,0.534812582466847,0.9977523749585809,0.4810648413839307
Ppp2r3a,1102.784402680031,-0.07573345058164258,0.1591378697239189,-0.4758983560168872,0.6341467934623123,0.9977523749585809,0.48106620366340647
Tmem198b,254.83358940330865,-0.075654102813168575,0.14170369055247217,-0.533889431659892,0.593418034315067,0.9977523749585809,0.4810675657545923
Exph5,1685.7879127995236,-0.07554170969811645,0.1347572072596719,-0.5605763968716754,0.5750863457134632,0.9977523749585809,0.48108389664582846
Akr1c13,9238.863760232794,-0.07546364343827007,0.11362945418486554,-0.6641204428870799,0.5066132270400914,0.9977523749585809,0.4810852563268578
Emp2,1781.3753809916634,-0.07543844475198952,0.13850357503216024,-0.5446678523241936,0.5859819787943356,0.9977523749585809,0.4810893341973869
Cbr3,2985.797680315014,-0.0754038571627567,0.13565375675993874,-0.5558552815916188,0.5783097905292901,0.9977523749585809,0.4810947686555867
Ccdc12,2470.5735931347303,-0.07529495846470428,0.17917835149976422,-0.4202235249653101,0.6743221707100677,0.9977523749585809,0.4811002001339123
Dis3,467.7263940839934,-0.07526966192855684,0.1843588035478145,-0.40827809944554794,0.6830695159902382,0.9977523749585809,0.48110155753600126
Mast4,1514.2077287557165,-0.07526455141903611,0.13581998223759092,-0.5541493245623847,0.5794766559733827,0.9977523749585809,0.4811029147421517
Epb4.1l4b,18433.337008759572,-0.07512066775107447,0.10808966256643449,-0.6949847558725009,0.4870648549470662,0.9977523749585809,0.48111240972721825
Gemin4,502.32078985607586,-0.0750860091906849,0.10407855447244839,-0.7214359343409368,0.4706413443387881,0.9977523749585809,0.48111512082004737
Rdx,2059.1303661142083,-0.07500155366477816,0.15930267450781516,-0.470811641402158,0.6377752504903937,0.9977523749585809,0.48111918600035347
Flnb,21563.67822215424,-0.07498645572872187,0.12138756200410299,-0.6177441452048215,0.5367440072045062,0.9977523749585809,0.4811205406769601
Ppm1m,378.0345965963788,-0.07496221543670539,0.12330324213862959,-0.6079500760606564,0.5432205857861483,0.9977523749585809,0.481125957486436
Nsmce2,724.797423411978,-0.07493303420851208,0.11902158299518555,-0.6295751772310333,0.5289725684951918,0.9977523749585809,0.48112731120807195
Cd14,977.8170267062663,-0.07492521091151795,0.10086738971996616,-0.74280905969243,0.4575972896765535,0.9977523749585809,0.4811286647341677
Brcc3,1285.4138831030368,-0.07491841544707029,0.11309067062496872,-0.6624632698086541,0.5076743669593153,0.9977523749585809,0.4811313711992705
Eva1c,51.994296279416396,-0.07488558192118876,0.19973768506325898,-0.37491964472038275,0.7077202285949837,0.9977523749585809,0.4811354294840386
Mark4,938.3968990910805,-0.0748272510503228,0.12051803286358685,-0.62088012285281,0.5346785004252546,0.9977523749585809,0.481143540927099
Ndc1,297.33402479911837,-0.07473927338969609,0.19266670519057583,-0.3879200265337382,0.6980752173565834,0.9977523749585809,0.4811502952955905
Ldb1,2354.702204678902,-0.07463292336651743,0.12499095296920833,-0.5971066032667448,0.5504362095327866,0.9977523749585809,0.48115974352556967
Pfkl,11466.844535207001,-0.07460258273762856,0.10156273553986961,-0.7345468034222302,0.46261554595337584,0.9977523749585809,0.48118399616134055
